ct_name,ct_adcode,pr_name,pr_adcode
北京市,110000,北京市,110000
天津市,120000,天津市,120000
唐山市,130200,河北省,130000
秦皇岛市,130300,河北省,130000
承德市,130800,河北省,130000
石家庄市,130100,河北省,130000
廊坊市,131000,河北省,130000
衡水市,131100,河北省,130000
张家口市,130700,河北省,130000
保定市,130600,河北省,130000
邢台市,130500,河北省,130000
邯郸市,130400,河北省,130000
沧州市,130900,河北省,130000
阳泉市,140300,山西省,140000
长治市,140400,山西省,140000
朔州市,140600,山西省,140000
晋城市,140500,山西省,140000
忻州市,140900,山西省,140000
运城市,140800,山西省,140000
大同市,140200,山西省,140000
晋中市,140700,山西省,140000
吕梁市,141100,山西省,140000
太原市,140100,山西省,140000
临汾市,141000,山西省,140000
乌海市,150300,内蒙古自治区,150000
包头市,150200,内蒙古自治区,150000
巴彦淖尔市,150800,内蒙古自治区,150000
呼伦贝尔市,150700,内蒙古自治区,150000
阿拉善盟,152900,内蒙古自治区,150000
兴安盟,152200,内蒙古自治区,150000
呼和浩特市,150100,内蒙古自治区,150000
鄂尔多斯市,150600,内蒙古自治区,150000
通辽市,150500,内蒙古自治区,150000
赤峰市,150400,内蒙古自治区,150000
锡林郭勒盟,152500,内蒙古自治区,150000
乌兰察布市,150900,内蒙古自治区,150000
葫芦岛市,211400,辽宁省,210000
大连市,210200,辽宁省,210000
丹东市,210600,辽宁省,210000
锦州市,210700,辽宁省,210000
沈阳市,210100,辽宁省,210000
铁岭市,211200,辽宁省,210000
阜新市,210900,辽宁省,210000
本溪市,210500,辽宁省,210000
辽阳市,211000,辽宁省,210000
抚顺市,210400,辽宁省,210000
鞍山市,210300,辽宁省,210000
盘锦市,211100,辽宁省,210000
营口市,210800,辽宁省,210000
朝阳市,211300,辽宁省,210000
吉林市,220200,吉林省,220000
长春市,220100,吉林省,220000
白城市,220800,吉林省,220000
松原市,220700,吉林省,220000
延边朝鲜族自治州,222400,吉林省,220000
四平市,220300,吉林省,220000
通化市,220500,吉林省,220000
白山市,220600,吉林省,220000
辽源市,220400,吉林省,220000
大兴安岭地区,232700,黑龙江省,230000
七台河市,230900,黑龙江省,230000
鹤岗市,230400,黑龙江省,230000
哈尔滨市,230100,黑龙江省,230000
佳木斯市,230800,黑龙江省,230000
双鸭山市,230500,黑龙江省,230000
黑河市,231100,黑龙江省,230000
牡丹江市,231000,黑龙江省,230000
绥化市,231200,黑龙江省,230000
伊春市,230700,黑龙江省,230000
大庆市,230600,黑龙江省,230000
鸡西市,230300,黑龙江省,230000
齐齐哈尔市,230200,黑龙江省,230000
上海市,310000,上海市,310000
连云港市,320700,江苏省,320000
南通市,320600,江苏省,320000
宿迁市,321300,江苏省,320000
淮安市,320800,江苏省,320000
镇江市,321100,江苏省,320000
南京市,320100,江苏省,320000
盐城市,320900,江苏省,320000
常州市,320400,江苏省,320000
泰州市,321200,江苏省,320000
扬州市,321000,江苏省,320000
徐州市,320300,江苏省,320000
无锡市,320200,江苏省,320000
苏州市,320500,江苏省,320000
舟山市,330900,浙江省,330000
嘉兴市,330400,浙江省,330000
宁波市,330200,浙江省,330000
台州市,331000,浙江省,330000
温州市,330300,浙江省,330000
金华市,330700,浙江省,330000
杭州市,330100,浙江省,330000
湖州市,330500,浙江省,330000
丽水市,331100,浙江省,330000
