level,province,city,filename,index
国,,,country,0
市,上海市,上海城区,city,72
市,云南省,临沧市,city,291
市,云南省,丽江市,city,289
市,云南省,保山市,city,287
市,云南省,大理白族自治州,city,296
市,云南省,德宏傣族景颇族自治州,city,297
市,云南省,怒江傈僳族自治州,city,298
市,云南省,文山壮族苗族自治州,city,294
市,云南省,昆明市,city,284
市,云南省,昭通市,city,288
市,云南省,普洱市,city,290
市,云南省,曲靖市,city,285
市,云南省,楚雄彝族自治州,city,292
市,云南省,玉溪市,city,286
市,云南省,红河哈尼族彝族自治州,city,293
市,云南省,西双版纳傣族自治州,city,295
市,云南省,迪庆藏族自治州,city,299
市,内蒙古自治区,乌兰察布市,city,32
市,内蒙古自治区,乌海市,city,26
市,内蒙古自治区,兴安盟,city,33
市,内蒙古自治区,包头市,city,25
市,内蒙古自治区,呼伦贝尔市,city,30
市,内蒙古自治区,呼和浩特市,city,24
市,内蒙古自治区,巴彦淖尔市,city,31
市,内蒙古自治区,赤峰市,city,27
市,内蒙古自治区,通辽市,city,28
市,内蒙古自治区,鄂尔多斯市,city,29
市,内蒙古自治区,锡林郭勒盟,city,34
市,内蒙古自治区,阿拉善盟,city,35
市,北京市,北京城区,city,0
市,台湾省,台湾省,city,369
市,吉林省,吉林市,city,51
市,吉林省,四平市,city,52
市,吉林省,延边朝鲜族自治州,city,58
市,吉林省,松原市,city,56
市,吉林省,白城市,city,57
市,吉林省,白山市,city,55
市,吉林省,辽源市,city,53
市,吉林省,通化市,city,54
市,吉林省,长春市,city,50
市,四川省,乐山市,city,263
市,四川省,内江市,city,262
市,四川省,凉山彝族自治州,city,274
市,四川省,南充市,city,264
市,四川省,宜宾市,city,266
市,四川省,巴中市,city,270
市,四川省,广元市,city,260
市,四川省,广安市,city,267
市,四川省,德阳市,city,258
市,四川省,成都市,city,254
市,四川省,攀枝花市,city,256
市,四川省,泸州市,city,257
市,四川省,甘孜藏族自治州,city,273
市,四川省,眉山市,city,265
市,四川省,绵阳市,city,259
市,四川省,自贡市,city,255
市,四川省,资阳市,city,271
市,四川省,达州市,city,268
市,四川省,遂宁市,city,261
市,四川省,阿坝藏族羌族自治州,city,272
市,四川省,雅安市,city,269
市,天津市,天津城区,city,1
市,宁夏回族自治区,中卫市,city,343
市,宁夏回族自治区,吴忠市,city,341
市,宁夏回族自治区,固原市,city,342
市,宁夏回族自治区,石嘴山市,city,340
市,宁夏回族自治区,银川市,city,339
市,安徽省,亳州市,city,110
市,安徽省,六安市,city,109
市,安徽省,合肥市,city,97
市,安徽省,安庆市,city,104
市,安徽省,宣城市,city,112
市,安徽省,宿州市,city,108
市,安徽省,池州市,city,111
市,安徽省,淮北市,city,102
市,安徽省,淮南市,city,100
市,安徽省,滁州市,city,106
市,安徽省,芜湖市,city,98
市,安徽省,蚌埠市,city,99
市,安徽省,铜陵市,city,103
市,安徽省,阜阳市,city,107
市,安徽省,马鞍山市,city,101
市,安徽省,黄山市,city,105
市,山东省,东营市,city,137
市,山东省,临沂市,city,144
市,山东省,威海市,city,142
市,山东省,德州市,city,145
市,山东省,日照市,city,143
市,山东省,枣庄市,city,136
市,山东省,泰安市,city,141
市,山东省,济南市,city,133
市,山东省,济宁市,city,140
市,山东省,淄博市,city,135
市,山东省,滨州市,city,147
市,山东省,潍坊市,city,139
市,山东省,烟台市,city,138
市,山东省,聊城市,city,146
市,山东省,菏泽市,city,148
市,山东省,青岛市,city,134
市,山西省,临汾市,city,22
市,山西省,吕梁市,city,23
市,山西省,大同市,city,14
市,山西省,太原市,city,13
市,山西省,忻州市,city,21
市,山西省,晋中市,city,19
市,山西省,晋城市,city,17
市,山西省,朔州市,city,18
市,山西省,运城市,city,20
市,山西省,长治市,city,16
市,山西省,阳泉市,city,15
市,广东省,东莞市,city,214
市,广东省,中山市,city,215
市,广东省,云浮市,city,218
市,广东省,佛山市,city,203
市,广东省,广州市,city,198
市,广东省,惠州市,city,208
市,广东省,揭阳市,city,217
市,广东省,梅州市,city,209
市,广东省,汕头市,city,202
市,广东省,汕尾市,city,210
市,广东省,江门市,city,204
市,广东省,河源市,city,211
市,广东省,深圳市,city,200
市,广东省,清远市,city,213
市,广东省,湛江市,city,205
市,广东省,潮州市,city,216
市,广东省,珠海市,city,201
市,广东省,肇庆市,city,207
市,广东省,茂名市,city,206
市,广东省,阳江市,city,212
市,广东省,韶关市,city,199
市,广西壮族自治区,北海市,city,223
市,广西壮族自治区,南宁市,city,219
市,广西壮族自治区,崇左市,city,232
市,广西壮族自治区,来宾市,city,231
市,广西壮族自治区,柳州市,city,220
市,广西壮族自治区,桂林市,city,221
市,广西壮族自治区,梧州市,city,222
市,广西壮族自治区,河池市,city,230
市,广西壮族自治区,玉林市,city,227
市,广西壮族自治区,百色市,city,228
市,广西壮族自治区,贵港市,city,226
市,广西壮族自治区,贺州市,city,229
市,广西壮族自治区,钦州市,city,225
市,广西壮族自治区,防城港市,city,224
市,新疆维吾尔自治区,乌鲁木齐市,city,344
市,新疆维吾尔自治区,五家渠市,city,361
市,新疆维吾尔自治区,伊犁哈萨克自治州,city,355
市,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,city,352
市,新疆维吾尔自治区,克拉玛依市,city,345
市,新疆维吾尔自治区,北屯市,city,362
市,新疆维吾尔自治区,博尔塔拉蒙古自治州,city,349
市,新疆维吾尔自治区,双河市,city,364
市,新疆维吾尔自治区,可克达拉市,city,365
市,新疆维吾尔自治区,吐鲁番市,city,346
市,新疆维吾尔自治区,和田地区,city,354
市,新疆维吾尔自治区,哈密市,city,347
市,新疆维吾尔自治区,喀什地区,city,353
市,新疆维吾尔自治区,图木舒克市,city,360
市,新疆维吾尔自治区,塔城地区,city,356
市,新疆维吾尔自治区,巴音郭楞蒙古自治州,city,350
市,新疆维吾尔自治区,新星市,city,368
市,新疆维吾尔自治区,昆玉市,city,366
市,新疆维吾尔自治区,昌吉回族自治州,city,348
市,新疆维吾尔自治区,石河子市,city,358
市,新疆维吾尔自治区,胡杨河市,city,367
市,新疆维吾尔自治区,铁门关市,city,363
市,新疆维吾尔自治区,阿克苏地区,city,351
市,新疆维吾尔自治区,阿勒泰地区,city,357
市,新疆维吾尔自治区,阿拉尔市,city,359
市,江苏省,南京市,city,73
市,江苏省,南通市,city,78
市,江苏省,宿迁市,city,85
市,江苏省,常州市,city,76
市,江苏省,徐州市,city,75
市,江苏省,扬州市,city,82
市,江苏省,无锡市,city,74
市,江苏省,泰州市,city,84
市,江苏省,淮安市,city,80
市,江苏省,盐城市,city,81
市,江苏省,苏州市,city,77
市,江苏省,连云港市,city,79
市,江苏省,镇江市,city,83
市,江西省,上饶市,city,132
市,江西省,九江市,city,125
市,江西省,南昌市,city,122
市,江西省,吉安市,city,129
市,江西省,宜春市,city,130
市,江西省,抚州市,city,131
市,江西省,新余市,city,126
市,江西省,景德镇市,city,123
市,江西省,萍乡市,city,124
市,江西省,赣州市,city,128
市,江西省,鹰潭市,city,127
市,河北省,保定市,city,7
市,河北省,唐山市,city,3
市,河北省,廊坊市,city,11
市,河北省,张家口市,city,8
市,河北省,承德市,city,9
市,河北省,沧州市,city,10
市,河北省,石家庄市,city,2
市,河北省,秦皇岛市,city,4
市,河北省,衡水市,city,12
市,河北省,邢台市,city,6
市,河北省,邯郸市,city,5
市,河南省,三门峡市,city,160
市,河南省,信阳市,city,163
市,河南省,南阳市,city,161
市,河南省,周口市,city,164
市,河南省,商丘市,city,162
市,河南省,安阳市,city,153
市,河南省,平顶山市,city,152
市,河南省,开封市,city,150
市,河南省,新乡市,city,155
市,河南省,洛阳市,city,151
市,河南省,济源市,city,166
市,河南省,漯河市,city,159
市,河南省,濮阳市,city,157
市,河南省,焦作市,city,156
市,河南省,许昌市,city,158
市,河南省,郑州市,city,149
市,河南省,驻马店市,city,165
市,河南省,鹤壁市,city,154
市,浙江省,丽水市,city,96
市,浙江省,台州市,city,95
市,浙江省,嘉兴市,city,89
市,浙江省,宁波市,city,87
市,浙江省,杭州市,city,86
市,浙江省,温州市,city,88
市,浙江省,湖州市,city,90
市,浙江省,绍兴市,city,91
市,浙江省,舟山市,city,94
市,浙江省,衢州市,city,93
市,浙江省,金华市,city,92
市,海南省,万宁市,city,240
市,海南省,三亚市,city,234
市,海南省,三沙市,city,235
市,海南省,东方市,city,241
市,海南省,临高县,city,245
市,海南省,乐东黎族自治县,city,248
市,海南省,五指山市,city,237
市,海南省,保亭黎族苗族自治县,city,250
市,海南省,儋州市,city,236
市,海南省,定安县,city,242
市,海南省,屯昌县,city,243
市,海南省,文昌市,city,239
市,海南省,昌江黎族自治县,city,247
市,海南省,海口市,city,233
